Username,Tweet
BamsAlhea,@Joker_Wedoks @ganjarpranowo @Gus_Raharjo @_Umamlik @aan_muba @Aria_Manik @bams_1eng @DiniHrdianti @NgkongRoses @otnayram_me @RizkiR4madani @Cintada16 @siticeriaselalu @catatankaqihati @Ghurem2 @Miduk17 @WongKEDU_ Salam dr Nganjuk GP Menang Total.. 🤟🇮🇩🤟 https://t.co/UpFl3AUcuE
Jens_alfaqir,"@sarah_enjeuLL @aniesbaswedan Hahahah... Dongok lu ah

Emang tipikal cebong gini parah!! https://t.co/qX87FyAkXx"
DRadjikin,"@Sibadogil14 @jokowi @prabowo @ganjarpranowo @puanmaharani_ri 
@PDI_Perjuangan 
@66Hasto"
haelamarie,Prabowo Subianto Kenang Perjuangan Desmond Besarkan Partai Gerindra - 20Detik #Prabowo #BangkitBersama https://t.co/4i4pDQf68k
HusainMechmari6,"@DokterTifa @aniesbaswedan @prabowo Di hati dan pikiran serta perasaan ku,cuman @aniesbaswedan presiden RI 2024,kalau untuk yg lain maaf bu dok,saya nggak punya perasaan lagi,apalagi hati dn pikiran ini susah banget untuk berpaling,.🤭😊🙏 https://t.co/5RX9x03Lop"
f4thur77,@gtobing2903 @aniesbaswedan @ganjarpranowo @PDI_Perjuangan @MUIPusat @PKSejahtera Wkwkwkwk
goentz1,"“Bangsa Indonesia kalau mau makmur dan sejahtera harus menguasai ilmu pengetahuan dan teknologi, harus menguasai _science_. 

#KitaSemuaBersatu 
Prabowo Subianto https://t.co/gRSTgLRIwl"
HiJas81817843,@Cozillar_Reborn @Metro_TV @ganjarpranowo @aniesbaswedan Mantap tv nya 👍😂
LANGKAHANIES,"Semoga Allah SWT kabulkan
Doa doa beliau dan seluruh keluarganya
Semoga Allah SWT kabulkan
Beliau @aniesbaswedan Jadi Presiden tahun 2024 https://t.co/X0kg28lueB"
don_muzakir_,"Momen Menteri Pertahanan RI Prabowo Subianto @prabowo, menghadiri pameran kedirgantaraan Paris Air Show 2023 di Le Bourget, utara Paris, Prancis.

@indonesiainparis
@franceenindonesie

#PRABOWOUNTUKINDONESIA

#prabowosubianto #prabowomenhan #gerindra #gerindramenang #prabowo https://t.co/SFK73uJwzs"
